feature,importance
tx_frequency,0.5160720158123062
activity_consistency,0.25658398782697167
repay_ratio,0.06265370897198431
bot_like_behavior,0.04898847378658151
hourly_entropy,0.01883541889867703
volume_consistency,0.015516528498025883
avg_time_between_txs,0.013880334506989583
daily_entropy,0.012214692941466982
liquidation_ratio,0.01167597698511056
liquidation_count,0.00864103765271958
total_borrowed_usd,0.00756988869407054
activity_span_days,0.005613108973309201
total_repaid_usd,0.00514441001538856
borrow_ratio,0.0037313093038987416
total_withdrawals_usd,0.002726984422491825
net_flow_usd,0.002054375032662828
std_time_between_txs,0.0016560366525508704
deposit_ratio,0.0009034252777035684
avg_tx_amount_usd,0.0006840123147986612
active_days,0.0006685384516171391
std_tx_amount_usd,0.0006604058448011814
total_transactions,0.0006471325670304791
total_deposits_usd,0.0006337208089135897
median_tx_amount_usd,0.0004661896871387766
activity_maturity,0.0003433567975052692
high_liquidation_risk,0.0003303055912015598
max_tx_amount_usd,0.0002945341079915857
num_assets,0.00022641801492615538
deposit_to_borrow_ratio,0.00016578905921352038
portfolio_diversity,0.00016216953387374302
min_tx_amount_usd,0.00011882727371511456
repayment_ratio,5.491495772207575e-05
utilization_ratio,5.4352576429128656e-05
financial_stability,1.672035973062153e-05
net_flow_ratio,6.11295595019477e-06
whale_behavior,4.784844531381245e-06
num_protocols,0.0
avg_gas_fee,0.0
failed_tx_ratio,0.0
